Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
1INCHUSDT,1INCH/USDT,1INCH,USDT,True,Spot,Margin,,1.0
1INCHDOWNUSDT,1INCHDOWN/USDT,1INCHDOWN,USDT,False,Spot,,,1.0
1INCHUPUSDT,1INCHUP/USDT,1INCHUP,USDT,False,Spot,,,1.0
AAVEUSDT,AAVE/USDT,AAVE,USDT,True,Spot,Margin,,1.0
AAVEDOWNUSDT,AAVEDOWN/USDT,AAVEDOWN,USDT,False,Spot,,,1.0
AAVEUPUSDT,AAVEUP/USDT,AAVEUP,USDT,False,Spot,,,1.0
ACAUSDT,ACA/USDT,ACA,USDT,True,Spot,,,1.0
ACHUSDT,ACH/USDT,ACH,USDT,True,Spot,,,1.0
ACMUSDT,ACM/USDT,ACM,USDT,True,Spot,,,1.0
ADAUSDT,ADA/USDT,ADA,USDT,True,Spot,Margin,,1.0
ADADOWNUSDT,ADADOWN/USDT,ADADOWN,USDT,True,Spot,,,1.0
ADAUPUSDT,ADAUP/USDT,ADAUP,USDT,True,Spot,,,1.0
ADXUSDT,ADX/USDT,ADX,USDT,True,Spot,,,1.0
AGLDUSDT,AGLD/USDT,AGLD,USDT,True,Spot,Margin,,1.0
AIONUSDT,AION/USDT,AION,USDT,True,Spot,,,1.0
AKROUSDT,AKRO/USDT,AKRO,USDT,True,Spot,Margin,,1.0
ALCXUSDT,ALCX/USDT,ALCX,USDT,True,Spot,,,1.0
ALGOUSDT,ALGO/USDT,ALGO,USDT,True,Spot,Margin,,1.0
ALICEUSDT,ALICE/USDT,ALICE,USDT,True,Spot,Margin,,1.0
ALPACAUSDT,ALPACA/USDT,ALPACA,USDT,True,Spot,,,1.0
ALPHAUSDT,ALPHA/USDT,ALPHA,USDT,True,Spot,Margin,,1.0
ALPINEUSDT,ALPINE/USDT,ALPINE,USDT,True,Spot,,,1.0
AMPUSDT,AMP/USDT,AMP,USDT,True,Spot,,,1.0
ANCUSDT,ANC/USDT,ANC,USDT,True,Spot,Margin,,1.0
ANKRUSDT,ANKR/USDT,ANKR,USDT,True,Spot,Margin,,1.0
ANTUSDT,ANT/USDT,ANT,USDT,True,Spot,Margin,,1.0
ANYUSDT,ANY/USDT,ANY,USDT,False,Spot,,,1.0
APEUSDT,APE/USDT,APE,USDT,True,Spot,Margin,,1.0
API3USDT,API3/USDT,API3,USDT,True,Spot,Margin,,1.0
ARUSDT,AR/USDT,AR,USDT,True,Spot,Margin,,1.0
ARDRUSDT,ARDR/USDT,ARDR,USDT,True,Spot,,,1.0
ARPAUSDT,ARPA/USDT,ARPA,USDT,True,Spot,Margin,,1.0
ASRUSDT,ASR/USDT,ASR,USDT,True,Spot,,,1.0
ASTRUSDT,ASTR/USDT,ASTR,USDT,True,Spot,Margin,,1.0
ATAUSDT,ATA/USDT,ATA,USDT,True,Spot,Margin,,1.0
ATMUSDT,ATM/USDT,ATM,USDT,True,Spot,,,1.0
