Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
10SET_USDT,10SET/USDT,10SET,USDT,True,Spot,,,1.0
1ART_USDT,1ART/USDT,1ART,USDT,True,Spot,,,1.0
1EARTH_USDT,1EARTH/USDT,1EARTH,USDT,True,Spot,,,1.0
1INCH_USDT,1INCH/USDT,1INCH,USDT,True,Spot,Margin,,1.0
1INCH3L_USDT,1INCH3L/USDT,1INCH3L,USDT,True,Spot,,,1.0
1INCH3S_USDT,1INCH3S/USDT,1INCH3S,USDT,True,Spot,,,1.0
A5T_USDT,A5T/USDT,A5T,USDT,True,Spot,,,1.0
AAA_USDT,AAA/USDT,AAA,USDT,True,Spot,,,1.0
AAG_USDT,AAG/USDT,AAG,USDT,True,Spot,,,1.0
AART_USDT,AART/USDT,AART,USDT,True,Spot,,,1.0
AAVE_USDT,AAVE/USDT,AAVE,USDT,True,Spot,Margin,,1.0
AAVE3L_USDT,AAVE3L/USDT,AAVE3L,USDT,True,Spot,,,1.0
AAVE3S_USDT,AAVE3S/USDT,AAVE3S,USDT,True,Spot,,,1.0
ABBC_USDT,ABBC/USDT,ABBC,USDT,True,Spot,,,1.0
ABT_USDT,ABT/USDT,ABT,USDT,True,Spot,,,1.0
ACA_USDT,ACA/USDT,ACA,USDT,True,Spot,Margin,,1.0
ACE_USDT,ACE/USDT,ACE,USDT,True,Spot,,,1.0
ACH_USDT,ACH/USDT,ACH,USDT,True,Spot,Margin,,1.0
ACH3L_USDT,ACH3L/USDT,ACH3L,USDT,True,Spot,,,1.0
ACH3S_USDT,ACH3S/USDT,ACH3S,USDT,True,Spot,,,1.0
ADA_USDT,ADA/USDT,ADA,USDT,True,Spot,Margin,,1.0
ADA3L_USDT,ADA3L/USDT,ADA3L,USDT,True,Spot,,,1.0
ADA3S_USDT,ADA3S/USDT,ADA3S,USDT,True,Spot,,,1.0
ADAPAD_USDT,ADAPAD/USDT,ADAPAD,USDT,True,Spot,,,1.0
ADEL_USDT,ADEL/USDT,ADEL,USDT,True,Spot,,,1.0
ADP_USDT,ADP/USDT,ADP,USDT,True,Spot,,,1.0
ADS_USDT,ADS/USDT,ADS,USDT,True,Spot,,,1.0
ADX_USDT,ADX/USDT,ADX,USDT,True,Spot,,,1.0
AE_USDT,AE/USDT,AE,USDT,True,Spot,Margin,,1.0
AERGO_USDT,AERGO/USDT,AERGO,USDT,False,Spot,Margin,,1.0
AFC_USDT,AFC/USDT,AFC,USDT,True,Spot,,,1.0
AGLD_USDT,AGLD/USDT,AGLD,USDT,True,Spot,Margin,,1.0
AGS_USDT,AGS/USDT,AGS,USDT,True,Spot,,,1.0
AIOZ_USDT,AIOZ/USDT,AIOZ,USDT,True,Spot,,,1.0
AIR_USDT,AIR/USDT,AIR,USDT,True,Spot,,,1.0
AKRO_USDT,AKRO/USDT,AKRO,USDT,True,Spot,Margin,,1.0
AKT_USDT,AKT/USDT,AKT,USDT,True,Spot,,,1.0
ALAYA_USDT,ALAYA/USDT,ALAYA,USDT,True,Spot,,,1.0
ALCX_USDT,ALCX/USDT,ALCX,USDT,True,Spot,Margin,,1.0
ALD_USDT,ALD/USDT,ALD,USDT,True,Spot,,,1.0
ALEPH_USDT,ALEPH/USDT,ALEPH,USDT,True,Spot,,,1.0
ALGO_USDT,ALGO/USDT,ALGO,USDT,True,Spot,Margin,,1.0
ALGO3L_USDT,ALGO3L/USDT,ALGO3L,USDT,True,Spot,,,1.0
ALGO3S_USDT,ALGO3S/USDT,ALGO3S,USDT,True,Spot,,,1.0
ALICE_USDT,ALICE/USDT,ALICE,USDT,True,Spot,Margin,,1.0
ALICE3L_USDT,ALICE3L/USDT,ALICE3L,USDT,True,Spot,,,1.0
ALICE3S_USDT,ALICE3S/USDT,ALICE3S,USDT,True,Spot,,,1.0
ALN_USDT,ALN/USDT,ALN,USDT,True,Spot,Margin,,1.0
ALPA_USDT,ALPA/USDT,ALPA,USDT,True,Spot,,,1.0
ALPACA_USDT,ALPACA/USDT,ALPACA,USDT,True,Spot,Margin,,1.0
ALPH_USDT,ALPH/USDT,ALPH,USDT,True,Spot,,,1.0
ALPHA_USDT,ALPHA/USDT,ALPHA,USDT,True,Spot,Margin,,1.0
ALPHA3L_USDT,ALPHA3L/USDT,ALPHA3L,USDT,True,Spot,,,1.0
ALPHA3S_USDT,ALPHA3S/USDT,ALPHA3S,USDT,True,Spot,,,1.0
ALPHR_USDT,ALPHR/USDT,ALPHR,USDT,True,Spot,,,1.0
ALPINE_USDT,ALPINE/USDT,ALPINE,USDT,True,Spot,Margin,,1.0
ALTB_USDT,ALTB/USDT,ALTB,USDT,True,Spot,,,1.0
ALU_USDT,ALU/USDT,ALU,USDT,True,Spot,,,1.0
ALY_USDT,ALY/USDT,ALY,USDT,True,Spot,,,1.0
AME_USDT,AME/USDT,AME,USDT,True,Spot,,,1.0
AMP_USDT,AMP/USDT,AMP,USDT,True,Spot,,,1.0
AMPL_USDT,AMPL/USDT,AMPL,USDT,True,Spot,,,1.0
AMPL3L_USDT,AMPL3L/USDT,AMPL3L,USDT,True,Spot,,,1.0
AMPL3S_USDT,AMPL3S/USDT,AMPL3S,USDT,True,Spot,,,1.0
ANC_USDT,ANC/USDT,ANC,USDT,True,Spot,Margin,,1.0
ANC3L_USDT,ANC3L/USDT,ANC3L,USDT,True,Spot,,,1.0
ANC3S_USDT,ANC3S/USDT,ANC3S,USDT,True,Spot,,,1.0
ANGLE_USDT,ANGLE/USDT,ANGLE,USDT,True,Spot,,,1.0
ANKR_USDT,ANKR/USDT,ANKR,USDT,True,Spot,Margin,,1.0
ANML_USDT,ANML/USDT,ANML,USDT,True,Spot,Margin,,1.0
ANT_USDT,ANT/USDT,ANT,USDT,True,Spot,Margin,,1.0
AOG_USDT,AOG/USDT,AOG,USDT,True,Spot,,,1.0
APE_USDT,APE/USDT,APE,USDT,True,Spot,Margin,,1.0
APE3L_USDT,APE3L/USDT,APE3L,USDT,True,Spot,,,1.0
APE3S_USDT,APE3S/USDT,APE3S,USDT,True,Spot,,,1.0
API3_USDT,API3/USDT,API3,USDT,True,Spot,Margin,,1.0
API33L_USDT,API33L/USDT,API33L,USDT,True,Spot,,,1.0
API33S_USDT,API33S/USDT,API33S,USDT,True,Spot,,,1.0
APN_USDT,APN/USDT,APN,USDT,True,Spot,,,1.0
APT_USDT,APT/USDT,APT,USDT,True,Spot,,,1.0
APX_USDT,APX/USDT,APX,USDT,True,Spot,,,1.0
APYS_USDT,APYS/USDT,APYS,USDT,True,Spot,,,1.0
AQDC_USDT,AQDC/USDT,AQDC,USDT,True,Spot,,,1.0
AQT_USDT,AQT/USDT,AQT,USDT,True,Spot,,,1.0
AR_USDT,AR/USDT,AR,USDT,True,Spot,Margin,,1.0
AR3L_USDT,AR3L/USDT,AR3L,USDT,True,Spot,,,1.0
AR3S_USDT,AR3S/USDT,AR3S,USDT,True,Spot,,,1.0
ARCX_USDT,ARCX/USDT,ARCX,USDT,True,Spot,,,1.0
ARES_USDT,ARES/USDT,ARES,USDT,True,Spot,Margin,,1.0
ARGON_USDT,ARGON/USDT,ARGON,USDT,True,Spot,,,1.0
ARMOR_USDT,ARMOR/USDT,ARMOR,USDT,True,Spot,,,1.0
ARNX_USDT,ARNX/USDT,ARNX,USDT,True,Spot,,,1.0
ARPA_USDT,ARPA/USDT,ARPA,USDT,True,Spot,Margin,,1.0
ARPA3L_USDT,ARPA3L/USDT,ARPA3L,USDT,True,Spot,,,1.0
ARPA3S_USDT,ARPA3S/USDT,ARPA3S,USDT,True,Spot,,,1.0
ARRR_USDT,ARRR/USDT,ARRR,USDT,True,Spot,,,1.0
ARTEM_USDT,ARTEM/USDT,ARTEM,USDT,True,Spot,,,1.0
ARV_USDT,ARV/USDT,ARV,USDT,True,Spot,,,1.0
ASD_USDT,ASD/USDT,ASD,USDT,True,Spot,Margin,,1.0
ASK_USDT,ASK/USDT,ASK,USDT,True,Spot,,,1.0
ASM_USDT,ASM/USDT,ASM,USDT,True,Spot,Margin,,1.0
ASR_USDT,ASR/USDT,ASR,USDT,True,Spot,Margin,,1.0
AST_USDT,AST/USDT,AST,USDT,True,Spot,,,1.0
