Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
1inchusdt,1INCH/USDT,1INCH,USDT,True,Spot,Margin,,1.0
1solusdt,1SOL/USDT,1SOL,USDT,True,Spot,,,1.0
aacusdt,AAC/USDT,AAC,USDT,True,Spot,,,1.0
aaveusdt,AAVE/USDT,AAVE,USDT,True,Spot,Margin,,1.0
abbcusdt,ABBC/USDT,ABBC,USDT,True,Spot,,,1.0
abtusdt,ABT/USDT,ABT,USDT,True,Spot,,,1.0
acausdt,ACA/USDT,ACA,USDT,True,Spot,,,1.0
achusdt,ACH/USDT,ACH,USDT,True,Spot,,,1.0
actusdt,ACT/USDT,ACT,USDT,True,Spot,,,1.0
adausdt,ADA/USDT,ADA,USDT,True,Spot,Margin,,1.0
adpusdt,ADP/USDT,ADP,USDT,True,Spot,,,1.0
adxusdt,ADX/USDT,ADX,USDT,True,Spot,,,1.0
aeusdt,AE/USDT,AE,USDT,True,Spot,,,1.0
agldusdt,AGLD/USDT,AGLD,USDT,True,Spot,,,1.0
aiozusdt,AIOZ/USDT,AIOZ,USDT,True,Spot,,,1.0
akrousdt,AKRO/USDT,AKRO,USDT,True,Spot,,,1.0
aktusdt,AKT/USDT,AKT,USDT,True,Spot,,,1.0
algousdt,ALGO/USDT,ALGO,USDT,True,Spot,Margin,,1.0
aliceusdt,ALICE/USDT,ALICE,USDT,True,Spot,Margin,,1.0
ampusdt,AMP/USDT,AMP,USDT,True,Spot,Margin,,1.0
ancusdt,ANC/USDT,ANC,USDT,True,Spot,,,1.0
ankrusdt,ANKR/USDT,ANKR,USDT,True,Spot,,,1.0
anmlusdt,ANML/USDT,ANML,USDT,True,Spot,,,1.0
antusdt,ANT/USDT,ANT,USDT,True,Spot,,,1.0
apeusdt,APE/USDT,APE,USDT,True,Spot,,,1.0
api3usdt,API3/USDT,API3,USDT,True,Spot,,,1.0
apnusdt,APN/USDT,APN,USDT,True,Spot,,,1.0
aqtusdt,AQT/USDT,AQT,USDT,True,Spot,,,1.0
arusdt,AR/USDT,AR,USDT,True,Spot,,,1.0
arknusdt,ARKN/USDT,ARKN,USDT,True,Spot,,,1.0
arpausdt,ARPA/USDT,ARPA,USDT,True,Spot,,,1.0
arvusdt,ARV/USDT,ARV,USDT,True,Spot,,,1.0
astusdt,AST/USDT,AST,USDT,True,Spot,,,1.0
astrusdt,ASTR/USDT,ASTR,USDT,True,Spot,,,1.0
