Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
1INCH-USDT,1INCH/USDT,1INCH,USDT,True,Spot,Margin,,1.0
AAC-USDT,AAC/USDT,AAC,USDT,True,Spot,,,1.0
AAVE-USDT,AAVE/USDT,AAVE,USDT,True,Spot,Margin,,1.0
ABT-USDT,ABT/USDT,ABT,USDT,True,Spot,,,1.0
ACA-USDT,ACA/USDT,ACA,USDT,True,Spot,,,1.0
ACT-USDT,ACT/USDT,ACT,USDT,True,Spot,,,1.0
ADA-USDT,ADA/USDT,ADA,USDT,True,Spot,Margin,,1.0
AERGO-USDT,AERGO/USDT,AERGO,USDT,True,Spot,,,1.0
AE-USDT,AET/USDT,AET,USDT,True,Spot,,,1.0
AGLD-USDT,AGLD/USDT,AGLD,USDT,True,Spot,Margin,,1.0
AKITA-USDT,AKITA/USDT,AKITA,USDT,True,Spot,Margin,,1.0
ALCX-USDT,ALCX/USDT,ALCX,USDT,True,Spot,,,1.0
ALGO-USDT,ALGO/USDT,ALGO,USDT,True,Spot,Margin,,1.0
ALPHA-USDT,ALPHA/USDT,ALPHA,USDT,True,Spot,Margin,,1.0
ALV-USDT,ALV/USDT,ALV,USDT,True,Spot,,,1.0
ANC-USDT,ANC/USDT,ANC,USDT,True,Spot,,,1.0
ANT-USDT,ANT/USDT,ANT,USDT,True,Spot,Margin,,1.0
ANW-USDT,ANW/USDT,ANW,USDT,True,Spot,,,1.0
APE-USDT,APE/USDT,APE,USDT,True,Spot,Margin,,1.0
API3-USDT,API3/USDT,API3,USDT,True,Spot,Margin,,1.0
APIX-USDT,APIX/USDT,APIX,USDT,True,Spot,,,1.0
APM-USDT,APM/USDT,APM,USDT,True,Spot,,,1.0
AR-USDT,AR/USDT,AR,USDT,True,Spot,,,1.0
ARK-USDT,ARK/USDT,ARK,USDT,True,Spot,,,1.0
AST-USDT,AST/USDT,AST,USDT,True,Spot,,,1.0
ASTR-USDT,ASTR/USDT,ASTR,USDT,True,Spot,Margin,,1.0
ATOM-USDT,ATOM/USDT,ATOM,USDT,True,Spot,Margin,,1.0
AUCTION-USDT,AUCTION/USDT,AUCTION,USDT,True,Spot,,,1.0
AVAX-USDT,AVAX/USDT,AVAX,USDT,True,Spot,Margin,,1.0
AXS-USDT,AXS/USDT,AXS,USDT,True,Spot,Margin,,1.0
BADGER-USDT,BADGER/USDT,BADGER,USDT,True,Spot,Margin,,1.0
BAL-USDT,BAL/USDT,BAL,USDT,True,Spot,Margin,,1.0
BAND-USDT,BAND/USDT,BAND,USDT,True,Spot,Margin,,1.0
BAT-USDT,BAT/USDT,BAT,USDT,True,Spot,Margin,,1.0
BCD-USDT,BCD/USDT,BCD,USDT,True,Spot,,,1.0
BCH-USDT,BCH/USDT,BCH,USDT,True,Spot,Margin,,1.0
BETH-USDT,BETH/USDT,BETH,USDT,True,Spot,,,1.0
BHP-USDT,BHP/USDT,BHP,USDT,True,Spot,,,1.0
BICO-USDT,BICO/USDT,BICO,USDT,True,Spot,Margin,,1.0
BLOC-USDT,BLOC/USDT,BLOC,USDT,True,Spot,,,1.0
BLOK-USDT,BLOK/USDT,BLOK,USDT,True,Spot,,,1.0
BNT-USDT,BNT/USDT,BNT,USDT,True,Spot,Margin,,1.0
BORA-USDT,BORA/USDT,BORA,USDT,True,Spot,,,1.0
BORING-USDT,BORING/USDT,BORING,USDT,True,Spot,,,1.0
BRWL-USDT,BRWL/USDT,BRWL,USDT,True,Spot,,,1.0
BSV-USDT,BSV/USDT,BSV,USDT,True,Spot,Margin,,1.0
BTC-USDT,BTC/USDT,BTC,USDT,True,Spot,Margin,,1.0
BTG-USDT,BTG/USDT,BTG,USDT,True,Spot,,,1.0
BTM-USDT,BTM/USDT,BTM,USDT,True,Spot,Margin,,1.0
BTT-USDT,BTT/USDT,BTT,USDT,True,Spot,Margin,,1.0
BZZ-USDT,BZZ/USDT,BZZ,USDT,True,Spot,Margin,,1.0
CEL-USDT,CEL/USDT,CEL,USDT,True,Spot,,,1.0
CELO-USDT,CELO/USDT,CELO,USDT,True,Spot,Margin,,1.0
CELR-USDT,CELR/USDT,CELR,USDT,True,Spot,Margin,,1.0
CELT-USDT,CELT/USDT,CELT,USDT,True,Spot,,,1.0
CFG-USDT,CFG/USDT,CFG,USDT,True,Spot,,,1.0
CFX-USDT,CFX/USDT,CFX,USDT,True,Spot,Margin,,1.0
CGS-USDT,CGS/USDT,CGS,USDT,True,Spot,,,1.0
CHAT-USDT,CHAT/USDT,CHAT,USDT,True,Spot,,,1.0
CHE-USDT,CHE/USDT,CHE,USDT,True,Spot,,,1.0
CHZ-USDT,CHZ/USDT,CHZ,USDT,True,Spot,Margin,,1.0
CLV-USDT,CLV/USDT,CLV,USDT,True,Spot,Margin,,1.0
CMT-USDT,CMT/USDT,CMT,USDT,True,Spot,,,1.0
CNTM-USDT,CNTM/USDT,CNTM,USDT,True,Spot,,,1.0
COMP-USDT,COMP/USDT,COMP,USDT,True,Spot,Margin,,1.0
CONV-USDT,CONV/USDT,CONV,USDT,True,Spot,Margin,,1.0
COVER-USDT,COVER/USDT,COVER,USDT,True,Spot,,,1.0
CQT-USDT,CQT/USDT,CQT,USDT,True,Spot,Margin,,1.0
CRO-USDT,CRO/USDT,CRO,USDT,True,Spot,Margin,,1.0
CRV-USDT,CRV/USDT,CRV,USDT,True,Spot,Margin,,1.0
CSPR-USDT,CSPR/USDT,CSPR,USDT,True,Spot,Margin,,1.0
CTC-USDT,CTC/USDT,CTC,USDT,True,Spot,,,1.0
CTXC-USDT,CTXC/USDT,CTXC,USDT,True,Spot,,,1.0
CVC-USDT,CVC/USDT,CVC,USDT,True,Spot,Margin,,1.0
CVP-USDT,CVP/USDT,CVP,USDT,True,Spot,,,1.0
CVT-USDT,CVT/USDT,CVT,USDT,True,Spot,,,1.0
CVX-USDT,CVX/USDT,CVX,USDT,True,Spot,,,1.0
DAI-USDT,DAI/USDT,DAI,USDT,True,Spot,,,1.0
DAO-USDT,DAO/USDT,DAO,USDT,True,Spot,,,1.0
DASH-USDT,DASH/USDT,DASH,USDT,True,Spot,Margin,,1.0
DCR-USDT,DCR/USDT,DCR,USDT,True,Spot,,,1.0
DEP-USDT,DEP/USDT,DEP,USDT,True,Spot,,,1.0
DEVT-USDT,DEVT/USDT,DEVT,USDT,True,Spot,,,1.0
DGB-USDT,DGB/USDT,DGB,USDT,True,Spot,,,1.0
DHT-USDT,DHT/USDT,DHT,USDT,True,Spot,,,1.0
DIA-USDT,DIA/USDT,DIA,USDT,True,Spot,,,1.0
DMD-USDT,DMD/USDT,DMD,USDT,True,Spot,,,1.0
DMG-USDT,DMG/USDT,DMG,USDT,True,Spot,,,1.0
DNA-USDT,DNA/USDT,DNA,USDT,True,Spot,,,1.0
DOGE-USDT,DOGE/USDT,DOGE,USDT,True,Spot,Margin,,1.0
DOME-USDT,DOME/USDT,DOME,USDT,True,Spot,Margin,,1.0
DORA-USDT,DORA/USDT,DORA,USDT,True,Spot,Margin,,1.0
DOSE-USDT,DOSE/USDT,DOSE,USDT,True,Spot,,,1.0
